id,name,vmax,mslp,category,ace,start_time,end_time,start_lat,start_lon
AL062003,UNNAMED,30,1010,-1,0.0,2003-07-19 18:00:00,2003-07-21 12:00:00,12.3,-43.5
AL072003,UNNAMED,30,1016,-1,0.0,2003-07-25 12:00:00,2003-07-27 00:00:00,29.3,-80.1
AL082003,ERIKA,65,986,1,2.1,2003-08-14 18:00:00,2003-08-17 00:00:00,26.4,-83.3
AL092003,UNNAMED,30,1007,-1,0.0,2003-08-21 18:00:00,2003-08-22 12:00:00,14.5,-65.5
AL102003,FABIAN,125,939,4,43.2,2003-08-27 18:00:00,2003-09-08 12:00:00,14.6,-30.7
AL112003,GRACE,35,1007,0,0.5,2003-08-30 12:00:00,2003-09-02 06:00:00,24.3,-92.4
AL122003,HENRI,50,997,0,0.5,2003-09-03 18:00:00,2003-09-08 12:00:00,27.4,-87.7
AL132003,ISABEL,145,915,5,63.3,2003-09-06 00:00:00,2003-09-19 06:00:00,13.8,-31.4
AL142003,UNNAMED,30,1007,-1,0.0,2003-09-08 06:00:00,2003-09-10 12:00:00,11.6,-21.7
AL152003,JUAN,90,969,2,9.4,2003-09-24 12:00:00,2003-09-29 12:00:00,28.2,-62.4
AL162003,KATE,110,952,3,21.9,2003-09-25 18:00:00,2003-10-07 18:00:00,11.8,-37.7
AL172003,LARRY,55,993,0,4.1,2003-10-01 18:00:00,2003-10-06 06:00:00,21.0,-93.2
AL182003,MINDY,40,1002,0,0.8,2003-10-10 18:00:00,2003-10-14 00:00:00,19.1,-68.8
AL192003,NICHOLAS,60,990,0,7.2,2003-10-13 00:00:00,2003-10-23 18:00:00,9.5,-37.0
AL202003,ODETTE,55,993,0,2.8,2003-12-04 12:00:00,2003-12-07 12:00:00,12.9,-76.2
AL212003,PETER,60,990,0,2.1,2003-12-07 18:00:00,2003-12-11 00:00:00,27.5,-34.5
AL012004,ALEX,105,957,3,11.4,2004-07-31 18:00:00,2004-08-06 12:00:00,30.3,-78.3
AL022004,BONNIE,55,1001,0,2.6,2004-08-03 12:00:00,2004-08-13 18:00:00,12.9,-53.6
